Field,Method1,Method2,Correlation,Cosine,MSE
mvgc_open_pvals_corrected,brain_source,region,0.257809454888589,0.996632392760488,0.00533638827265079
mvgc_open_pvals_corrected,source,pca,-0.437324861250314,0.97091498240047,0.0601328619293334
mvgc_open_pvals_corrected,source,region,0.141541385237768,0.977701383447203,0.045796713743521
mvgc_open_pvals_corrected,pca,region,-0.119752913197625,0.993652051850539,0.0103921509169854
mvgc_closed_pvals_corrected,brain_source,source,0.399529177874909,0.948119574941306,0.349372229069803
mvgc_closed_pvals_corrected,brain_source,pca,0.319379452343842,0.938038036639816,0.180916098064701
mvgc_closed_pvals_corrected,brain_source,region,-0.0218557336652397,0.938933776537829,0.302315422519071
mvgc_closed_pvals_corrected,source,pca,0.0402383128532778,0.966996480126023,0.0831214073849343
mvgc_closed_pvals_corrected,source,region,0.1063296954516,0.995271254857979,0.0108698302875544
mvgc_closed_pvals_corrected,pca,region,0.11621050448552,0.971015329828467,0.0594363287560965
mvgc_open_tvals,brain_source,source,-0.00636509975439049,0.0268639551307027,1.41876869442523
mvgc_open_tvals,brain_source,pca,0.139161537472962,0.119940113765833,1.01448479675704
mvgc_open_tvals,brain_source,region,0.161279484266088,0.165231731974439,1.05933568703823
mvgc_open_tvals,source,pca,0.295625586167584,0.173770703934968,1.61357876811235
mvgc_open_tvals,source,region,0.107168837988457,0.123099651097472,1.79809322682141
mvgc_open_tvals,pca,region,0.191321372799408,0.174069329907745,1.43354490166388
mvgc_closed_tvals,brain_source,source,-0.555510986482141,-0.704682489085437,4.36797850301634
mvgc_closed_tvals,brain_source,pca,0.341893881243197,0.630178662840605,1.22367489887603
mvgc_closed_tvals,brain_source,region,-0.170571751880032,0.183435945464346,2.10270128582049
mvgc_closed_tvals,source,pca,0.0928137481077348,-0.26155725858546,2.34816685764416
mvgc_closed_tvals,source,region,0.107029187927371,-0.06889373295662,1.29575902451886
mvgc_closed_tvals,pca,region,0.105563473680138,0.23498029095911,1.29198403771309
mvgc_open_tvals_masked,brain_source,source,NaN,NaN,0
mvgc_open_tvals_masked,brain_source,pca,NaN,NaN,0
mvgc_open_tvals_masked,brain_source,region,NaN,NaN,0
mvgc_open_tvals_masked,source,pca,NaN,NaN,0
mvgc_open_tvals_masked,source,region,NaN,NaN,0
mvgc_open_tvals_masked,pca,region,NaN,NaN,0
mvgc_closed_tvals_masked,brain_source,source,NaN,NaN,0
mvgc_closed_tvals_masked,brain_source,pca,NaN,NaN,0
mvgc_closed_tvals_masked,brain_source,region,NaN,NaN,0
mvgc_closed_tvals_masked,source,pca,NaN,NaN,0
mvgc_closed_tvals_masked,source,region,NaN,NaN,0
mvgc_closed_tvals_masked,pca,region,NaN,NaN,0
